
Processing ReadFiles_Run2012D.C+...
Info in <TUnixSystem::ACLiC>: creating shared library /pool/lsf/chiyi/358128442/./ReadFiles_Run2012D_C.so
130124 08:12:02 001 Xrd: GoToAnotherServer: Going to: lxfsre03a05.cern.ch:1095
130124 08:12:02 001 Xrd: GoToAnotherServer: Going to: lxfsrg17a05.cern.ch:1095
130124 08:12:02 001 Xrd: GoToAnotherServer: Going to: lxfsrc66a04.cern.ch:1095
130124 08:12:02 001 Xrd: GoToAnotherServer: Going to: lxfsre15a09.cern.ch:1095
130124 08:12:02 001 Xrd: GoToAnotherServer: Going to: lxfsrc64a04.cern.ch:1095
130124 08:12:03 001 Xrd: GoToAnotherServer: Going to: lxfsre07a06.cern.ch:1095
130124 08:12:03 001 Xrd: GoToAnotherServer: Going to: lxfsrk45a06.cern.ch:1095
130124 08:12:03 001 Xrd: GoToAnotherServer: Going to: lxfsre05a05.cern.ch:1095
130124 08:12:03 001 Xrd: GoToAnotherServer: Going to: lxfsrc64a03.cern.ch:1095
130124 08:12:03 001 Xrd: GoToAnotherServer: Going to: lxfsre13a05.cern.ch:1095
130124 08:12:03 001 Xrd: GoToAnotherServer: Going to: lxfsrk63a07.cern.ch:1095
130124 08:12:03 001 Xrd: GoToAnotherServer: Going to: lxfsre05a05.cern.ch:1095
130124 08:12:03 001 Xrd: GoToAnotherServer: Going to: lxfsre05a07.cern.ch:1095
130124 08:12:03 001 Xrd: GoToAnotherServer: Going to: lxfsre05a01.cern.ch:1095
130124 08:12:03 001 Xrd: GoToAnotherServer: Going to: lxfsrg25a06.cern.ch:1095
130124 08:12:03 001 Xrd: GoToAnotherServer: Going to: lxfsre05a03.cern.ch:1095
